base_Label	base_Min	base_Average	base_90% Line	base_Max	base_Pass	base_Fail	target_Min	target_Average	target_90% Line	target_Max	target_Pass	target_Fail	AVG	90%
TC06_PCG_External_QuoteNewCustomer_PEL_20_Dashboardpage_SearchCustomerID_S	0.948	1.163	1.325	1.325	4.0	0.0	3.29	5.946	11.961	11.961	4.0	0.0	3.5545	6.643
TC06_PCG_External_QuoteNewCustomer_PEL_20A_Customerbackpage_clickQuoteno_S	1.037	1.325	2.072	2.072	4.0	0.0	0.633	1.209	2.536	3.265	13.0	0.0	1.267	2.3040000000000003
TC06_PCG_External_QuoteNewCustomer_PEL_20B_ProposalTab_ClickPackageid_S	1.7	3.121	4.17	4.17	4.0	0.0	1.647	2.452	2.57	4.831	6.0	0.0	2.7865	3.37
TC06_PCG_External_QuoteNewCustomer_PEL_20_Dashboardpage_SearchCustomerID_M	0.766	0.882	0.988	0.988	3.0	0.0	12.84	16.144	18.195	18.195	4.0	0.0	8.513	9.5915
TC06_PCG_External_QuoteNewCustomer_PEL_20C_SelectQuote_S	1.094	1.453	1.794	1.794	4.0	0.0	0.619	1.368	1.677	2.943	6.0	0.0	1.4105	1.7355
TC06_PCG_External_QuoteNewCustomer_PEL_20A_Customerbackpage_clickQuoteno_M	1.1	1.314	1.659	1.659	3.0	0.0	3.184	5.973	8.635	12.675	7.0	0.0	3.6435	5.147
TC06_PCG_External_QuoteNewCustomer_PEL_20_Dashboardpage_SearchCustomerID_L	0.609	0.921	1.045	1.357	7.0	0.0	1.739	1.912	2.009	2.015	5.0	0.0	1.4165	1.527
TC06_PCG_External_QuoteNewCustomer_PEL_20B_ProposalTab_ClickPackageid_M	1.719	1.947	2.371	2.371	3.0	0.0	1.651	1.766	1.937	1.937	3.0	0.0	1.8565	2.154
TC06_PCG_External_QuoteNewCustomer_PEL_21_Packagepage_clickProceedtoissuance_S	3.379	3.685	4.1	4.1	4.0	0.0	0.677	1.485	2.325	2.325	4.0	0.0	2.585	3.2125
TC06_PCG_External_QuoteNewCustomer_PEL_20A_Customerbackpage_clickQuoteno_L	1.188	1.351	1.524	1.544	7.0	0.0	1.699	2.229	2.867	2.867	4.0	0.0	1.79	2.1955
TC06_PCG_External_QuoteNewCustomer_PEL_20C_SelectQuote_M	1.122	1.198	1.276	1.276	3.0	0.0	0.613	1.231	2.09	2.391	7.0	0.0	1.2145000000000001	1.6829999999999998
TC06_PCG_External_QuoteNewCustomer_PEL_20B_ProposalTab_ClickPackageid_L	1.62	2.282	3.225	3.758	7.0	0.0	15.191	18.574	20.438	24.462	6.0	0.0	10.428	11.8315
TC06_PCG_External_QuoteNewCustomer_PEL_22_Preissuance_Click_save&continue_S	6.586	7.77	10.287	10.287	4.0	0.0	7.601	9.842	12.149	17.491	13.0	0.0	8.806000000000001	11.218
TC07_PCG_External_NewCustomer_Collections_21A_Dashboardpage_SearchCustomerID_XXL	0.805	1.1	1.497	1.632	6.0	0.0	2.8	3.128	3.152	3.865	5.0	0.0	2.114	2.3245
TC06_PCG_External_QuoteNewCustomer_PEL_21_Packagepage_clickProceedtoissuance_M	3.124	3.484	3.966	3.966	3.0	0.0	13.882	18.658	21.716	24.849	6.0	0.0	11.071000000000002	12.841000000000001
TC06_PCG_External_QuoteNewCustomer_PEL_20C_SelectQuote_L	1.028	1.449	1.889	1.953	6.0	0.0	7.193	10.71	14.371	18.558	6.0	0.0	6.0795	8.13
TC06_PCG_External_QuoteNewCustomer_PEL_23a_SelectBillingType_S	0.851	0.933	1.035	1.035	4.0	0.0	7.585	9.327	12.787	12.787	4.0	0.0	5.13	6.9110000000000005
TC07_PCG_External_NewCustomer_Collections_21B_Customerbackpage_clickQuoteno_XXL	1.139	1.355	1.579	1.59	6.0	0.0	2.814	3.073	3.579	3.579	4.0	0.0	2.214	2.579
TC07_PCG_External_NewCustomer_Collections_21A_Dashboardpage_SearchCustomerID_S	0.602	1.009	1.387	1.536	6.0	0.0	14.837	21.017	24.7	24.7	3.0	0.0	11.013	13.0435
TC06_PCG_External_QuoteNewCustomer_PEL_23b_SelectPaymentPlan_S	0.344	0.393	0.448	0.448	4.0	0.0	1.86	2.186	2.282	3.022	6.0	0.0	1.2894999999999999	1.365
TC06_PCG_External_QuoteNewCustomer_PEL_21_Packagepage_clickProceedtoissuance_L	3.245	3.927	4.104	5.651	6.0	0.0	2.226	2.448	2.397	3.088	5.0	0.0	3.1875	3.2504999999999997
TC07_PCG_External_NewCustomer_Collections_21A_Dashboardpage_SearchCustomerID_M	0.802	1.015	1.156	1.156	4.0	0.0	1.681	2.415	2.72	4.294	6.0	0.0	1.7149999999999999	1.9380000000000002
TC07_PCG_External_NewCustomer_Collections_21B_Customerbackpage_clickQuoteno_S	1.225	1.649	1.519	2.987	6.0	0.0	7.454	9.73	14.15	14.379	7.0	0.0	5.689500000000001	7.8345
TC06_PCG_External_QuoteNewCustomer_PEL_22_Preissuance_Click_save&continue_M	7.261	8.255	10.169	10.169	3.0	0.0	2.126	2.603	3.674	3.674	4.0	0.0	5.429	6.9215
TC07_PCG_External_NewCustomer_Collections_21c_ProposalTab_ClickPackageid_XXL	3.257	4.023	4.991	5.748	6.0	0.0	1.792	2.046	2.547	2.547	3.0	0.0	3.0344999999999995	3.769
TC06_PCG_External_QuoteNewCustomer_PEL_23c_Paymentpage_clicksave_S	1.967	2.049	2.108	2.108	4.0	0.0	2.757	3.333	3.718	3.927	6.0	0.0	2.691	2.9130000000000003
TC07_PCG_External_NewCustomer_Collections_21B_Customerbackpage_clickQuoteno_M	1.162	1.339	1.557	1.557	4.0	0.0	2.959	3.521	3.653	4.85	6.0	0.0	2.4299999999999997	2.605
TC06_PCG_External_QuoteNewCustomer_PEL_23a_SelectBillingType_M	0.922	1.518	2.691	2.691	3.0	0.0	5.151	5.425	5.436	5.949	5.0	0.0	3.4715	4.0634999999999994
TC07_PCG_External_NewCustomer_Collections_21d_SelectQuote_XXL	1.424	1.604	1.695	2.002	6.0	0.0	3.509	4.127	4.71	4.71	3.0	0.0	2.8655	3.2025
TC07_PCG_External_NewCustomer_Collections_21c_ProposalTab_ClickPackageid_S	2.967	3.674	4.077	4.177	6.0	0.0	5.125	5.174	5.228	5.228	4.0	0.0	4.424	4.6525
TC06_PCG_External_QuoteNewCustomer_PEL_22_Preissuance_Click_save&continue_L	6.821	7.14	7.325	7.551	5.0	0.0	2.252	2.439	2.669	2.783	6.0	0.0	4.7895	4.997
TC06_PCG_External_QuoteNewCustomer_PEL_23b_SelectPaymentPlan_M	0.366	0.378	0.392	0.392	3.0	0.0	2.168	2.908	3.529	4.89	6.0	0.0	1.643	1.9605
TC07_PCG_External_NewCustomer_Collections_21A_Dashboardpage_SearchCustomerID_L	0.825	1.154	1.683	1.683	3.0	0.0	2.569	3.222	3.047	4.64	5.0	0.0	2.1879999999999997	2.365
TC06_PCG_External_QuoteNewCustomer_PEL_23d_Paymentpage_clickOk_S	2.187	2.631	2.999	2.999	4.0	0.0	2.197	3.03	3.566	3.566	3.0	0.0	2.8305	3.2824999999999998
TC07_PCG_External_NewCustomer_Collections_21c_ProposalTab_ClickPackageid_M	2.813	3.222	3.665	3.665	4.0	0.0	2.668	2.917	3.356	3.356	4.0	0.0	3.0694999999999997	3.5105
TC07_PCG_External_NewCustomer_Collections_21d_SelectQuote_S	1.245	1.92	2.527	2.96	6.0	0.0	5.151	5.554	5.634	6.745	6.0	0.0	3.737	4.080500000000001
TC06_PCG_External_QuoteNewCustomer_PEL_23a_SelectBillingType_L	0.87	1.004	1.086	1.282	5.0	0.0	1.369	2.14	2.109	4.009	5.0	0.0	1.572	1.5975000000000001
TC07_PCG_External_NewCustomer_Collections_22_PackagePage_ClickProceedToPreissuance_XXL	3.223	3.57	3.721	3.865	6.0	0.0	4.76	5.776	6.673	6.707	6.0	0.0	4.673	5.197
TC07_PCG_External_NewCustomer_Collections_21B_Customerbackpage_clickQuoteno_L	1.554	1.813	2.329	2.329	3.0	0.0	1.425	1.63	1.847	1.847	4.0	0.0	1.7214999999999998	2.088
TC06_PCG_External_QuoteNewCustomer_PEL_23c_Paymentpage_clicksave_M	1.943	1.964	2.003	2.003	3.0	0.0	4.86	6.402	8.101	8.101	3.0	0.0	4.183	5.0520000000000005
TC07_PCG_External_NewCustomer_Collections_21d_SelectQuote_M	1.278	1.414	1.67	1.67	3.0	0.0	2.701	3.594	4.39	4.991	6.0	0.0	2.504	3.03
TC06_PCG_External_QuoteNewCustomer_PEL_23b_SelectPaymentPlan_L	0.378	0.447	0.467	0.484	5.0	0.0	2.001	3.939	2.563	10.722	5.0	0.0	2.193	1.5150000000000001
TC07_PCG_External_NewCustomer_Collections_23_PreIssuancePage_ClickAddAnotherItem_XXL	1.066	1.703	2.174	3.119	6.0	0.0	2.821	3.548	4.155	4.945	6.0	0.0	2.6255	3.1645000000000003
TC07_PCG_External_NewCustomer_Collections_22_PackagePage_ClickProceedToPreissuance_S	2.979	3.975	4.769	5.271	6.0	0.0	1.766	2.287	2.606	2.606	4.0	0.0	3.1310000000000002	3.6875
TC06_PCG_External_QuoteNewCustomer_PEL_24_Subjectivepage_clickIssue_S	6.422	7.77	9.176	9.176	4.0	0.0	3.097	4.145	5.005	5.005	3.0	0.0	5.9575	7.0905000000000005
TC07_PCG_External_NewCustomer_Collections_21c_ProposalTab_ClickPackageid_L	3.496	4.475	5.225	5.225	3.0	0.0	1.455	2.415	2.561	4.922	6.0	0.0	3.445	3.893
TC06_PCG_External_QuoteNewCustomer_PEL_23d_Paymentpage_clickOk_M	2.738	2.942	3.217	3.217	3.0	0.0	0.679	1.114	1.329	1.86	5.0	0.0	2.028	2.273
TC06_PCG_External_QuoteNewCustomer_PEL_23c_Paymentpage_clicksave_L	1.911	2.025	2.136	2.136	4.0	0.0	1.381	2.682	3.91	4.347	6.0	0.0	2.3535	3.023
TC07_PCG_External_NewCustomer_Collections_22_PackagePage_ClickProceedToPreissuance_M	3.123	3.576	4.271	4.271	3.0	0.0	0.634	0.703	0.759	0.759	4.0	0.0	2.1395	2.515
TC07_PCG_External_NewCustomer_Collections_24_PreIssuancePage_EnterLimit&clicksaveXXL	1.673	2.362	2.693	4.121	6.0	0.0	1.748	2.579	3.204	3.204	3.0	0.0	2.4705000000000004	2.9485
TC06_PCG_External_QuoteNewCustomer_PEL_24_Subjectivepage_clickIssue_Dashboard_S	2.648	3.256	3.991	3.991	4.0	0.0	1.803	2.935	2.415	7.298	6.0	0.0	3.0955	3.2030000000000003
TC07_PCG_External_NewCustomer_Collections_23_PreIssuancePage_ClickAddAnotherItem_S	1.032	1.226	1.198	1.575	5.0	0.0	1.929	4.574	6.339	10.395	6.0	0.0	2.9	3.7685000000000004
TC07_PCG_External_NewCustomer_Collections_21d_SelectQuote_L	1.255	1.938	2.979	2.979	3.0	0.0	7.062	8.275	7.588	11.729	5.0	0.0	5.1065000000000005	5.2835
TC07_PCG_External_NewCustomer_Collections_23_PreIssuancePage_ClickAddAnotherItem_M	1.055	1.124	1.193	1.193	2.0	0.0	2.096	7.402	11.649	11.649	3.0	0.0	4.263	6.420999999999999
TC06_PCG_External_QuoteNewCustomer_PEL_23d_Paymentpage_clickOk_L	2.601	2.762	2.919	2.919	4.0	0.0	0.595	1.044	0.807	2.654	6.0	0.0	1.903	1.863
TC06_PCG_External_QuoteNewCustomer_PEL_24_Subjectivepage_clickIssue_M	5.477	5.655	5.793	5.793	3.0	0.0	7.195	7.626	7.961	7.961	4.0	0.0	6.6405	6.877000000000001
TC07_PCG_External_NewCustomer_Collections_24_PreIssuancePage_EnterLimit&clicksaveS	1.834	2.028	2.199	2.23	5.0	0.0	0.621	1.399	2.074	3.269	6.0	0.0	1.7135	2.1365
TC07_PCG_External_NewCustomer_Collections_25_PreIssuancePage_ClickSaveandContinue_XXL	7.993	8.517	8.82	9.012	6.0	0.0	0.663	2.317	3.156	3.156	3.0	0.0	5.417	5.988
TC07_PCG_External_NewCustomer_Collections_22_PackagePage_ClickProceedToPreissuance_L	3.192	4.328	5.662	5.662	3.0	0.0	7.198	9.481	7.736	19.851	6.0	0.0	6.9045000000000005	6.699
TC07_PCG_External_NewCustomer_Collections_24_PreIssuancePage_EnterLimit&clicksaveM	1.74	1.767	1.795	1.795	2.0	0.0	6.748	8.987	11.618	14.164	6.0	0.0	5.377	6.7065
TC06_PCG_External_QuoteNewCustomer_PEL_24_Subjectivepage_clickIssue_Dashboard_M	0.001	0.892	2.673	2.673	3.0	0.0	7.023	11.096	13.339	13.339	3.0	0.0	5.994	8.006
TC06_PCG_External_QuoteNewCustomer_PEL_24_Subjectivepage_clickIssue_L	5.202	6.132	6.654	6.654	4.0	0.0	0.695	1.891	2.091	4.816	6.0	0.0	4.0115	4.3725000000000005
TC07_PCG_External_NewCustomer_Collections_26a_SelectBillingType_XXL	0.857	0.926	0.985	1.025	6.0	0.0	0.73	1.987	4.61	4.811	9.0	0.0	1.4565000000000001	2.7975000000000003
TC07_PCG_External_NewCustomer_Collections_25_PreIssuancePage_ClickSaveandContinue_S	7.825	8.178	8.187	8.811	5.0	0.0	0.211	0.337	0.386	0.536	6.0	0.0	4.2575	4.286499999999999
TC07_PCG_External_NewCustomer_Collections_23_PreIssuancePage_ClickAddAnotherItem_L	1.457	1.667	1.903	1.903	3.0	0.0	0.208	0.235	0.253	0.343	9.0	0.0	0.9510000000000001	1.078
TC05_PCG_External_QuoteNewCustomer_HO_29A_Dashboardpage_SearchCustomerID_XL	0.755	0.869	0.896	1.083	5.0	0.0	0.572	1.599	1.374	4.574	5.0	0.0	1.234	1.135
TC06_PCG_External_QuoteNewCustomer_PEL_24_Subjectivepage_clickIssue_Dashboard_L	0.002	1.329	2.793	2.793	4.0	0.0	3.248	5.623	6.512	8.314	6.0	0.0	3.476	4.6525
TC07_PCG_External_NewCustomer_Collections_26b_SelectPaymentPlan_XXL	0.346	0.376	0.38	0.434	6.0	0.0	3.262	4.581	5.916	6.216	9.0	0.0	2.4785000000000004	3.148
TC07_PCG_External_NewCustomer_Collections_25_PreIssuancePage_ClickSaveandContinue_M	7.481	8.424	9.368	9.368	2.0	0.0	0.191	0.374	0.339	0.89	5.0	0.0	4.399	4.8535
TC07_PCG_External_NewCustomer_Collections_26a_SelectBillingType_S	0.815	0.913	0.958	1.001	5.0	0.0	0.6	2.315	4.864	4.864	3.0	0.0	1.6139999999999999	2.911
TC07_PCG_External_NewCustomer_Collections_24_PreIssuancePage_EnterLimit&clicksaveL	1.77	1.821	1.88	1.88	3.0	0.0	0.23	0.253	0.269	0.304	6.0	0.0	1.037	1.0745
TC05_PCG_External_QuoteNewCustomer_HO_29B_Customerbackpage_clickQuoteno_XL	1.229	1.439	1.664	1.677	5.0	0.0	0.237	0.264	0.305	0.308	9.0	0.0	0.8515	0.9844999999999999
TC05_PCG_External_QuoteNewCustomer_HO_29A_Dashboardpage_SearchCustomerID_L	0.556	0.817	0.917	1.291	7.0	0.0	0.208	0.227	0.242	0.242	3.0	0.0	0.522	0.5795
TC07_PCG_External_NewCustomer_Collections_26c_PaymentsPage_ClickSave_XXL	1.976	2.133	2.276	2.332	6.0	0.0	3.363	4.88	5.563	7.132	5.0	0.0	3.5065	3.9194999999999998
TC07_PCG_External_NewCustomer_Collections_26a_SelectBillingType_M	0.847	0.881	0.915	0.915	2.0	0.0	13.658	16.041	16.704	18.272	6.0	0.0	8.461	8.8095
TC07_PCG_External_NewCustomer_Collections_26b_SelectPaymentPlan_S	0.37	0.414	0.433	0.498	5.0	0.0	0.251	0.36	0.378	0.645	5.0	0.0	0.387	0.40549999999999997
TC05_PCG_External_QuoteNewCustomer_HO_29C_ProposalTab_ClickPackageid_XL	2.674	3.161	3.514	3.722	5.0	0.0	3.694	4.107	4.749	4.749	3.0	0.0	3.6340000000000003	4.1315
TC05_PCG_External_QuoteNewCustomer_HO_29B_Customerbackpage_clickQuoteno_L	1.112	1.283	1.344	1.483	7.0	0.0	13.877	15.581	16.483	19.792	9.0	0.0	8.432	8.9135
TC07_PCG_External_NewCustomer_Collections_26b_SelectPaymentPlan_M	0.386	0.398	0.411	0.411	2.0	0.0	1.064	1.296	1.466	1.484	6.0	0.0	0.847	0.9385
TC07_PCG_External_NewCustomer_Collections_25_PreIssuancePage_ClickSaveandContinue_L	7.795	8.698	10.229	10.229	3.0	0.0	0.249	0.348	0.399	0.399	3.0	0.0	4.523000000000001	5.314
TC07_PCG_External_NewCustomer_Collections_26c_PaymentsPage_ClickSave_S	1.735	2.11	2.245	2.37	5.0	0.0	1.121	1.416	1.436	2.306	9.0	0.0	1.763	1.8405
TC07_PCG_External_NewCustomer_Collections_26d_PaymentsPage_ClickOk_XXL	2.615	2.789	2.866	2.929	6.0	0.0	15.241	16.985	17.407	19.042	5.0	0.0	9.887	10.1365
TC05_PCG_External_QuoteNewCustomer_HO_29D_SelectQuote_XL	1.473	1.622	1.669	1.769	5.0	0.0	0.966	1.155	1.114	1.742	6.0	0.0	1.3885	1.3915000000000002
TC07_PCG_External_NewCustomer_Collections_26a_SelectBillingType_L	0.834	0.863	0.892	0.892	2.0	0.0	1.034	1.152	1.253	1.399	9.0	0.0	1.0074999999999998	1.0725
TC07_PCG_External_NewCustomer_Collections_26c_PaymentsPage_ClickSave_M	2.047	2.145	2.243	2.243	2.0	0.0	13.265	14.791	16.171	16.171	3.0	0.0	8.468	9.206999999999999
TC05_PCG_External_QuoteNewCustomer_HO_29C_ProposalTab_ClickPackageid_L	2.8	3.329	3.899	4.495	7.0	0.0	1.082	1.323	1.418	1.518	5.0	0.0	2.326	2.6585
TC07_PCG_External_NewCustomer_Collections_26d_PaymentsPage_ClickOk_S	2.776	2.982	2.984	3.419	5.0	0.0	2.721	2.979	3.121	3.363	6.0	0.0	2.9805	3.0525
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_XXL	6.238	7.387	8.557	9.442	6.0	0.0	2.856	3.036	3.21	3.388	9.0	0.0	5.2115	5.8835
TC07_PCG_External_NewCustomer_Collections_26b_SelectPaymentPlan_L	0.364	0.401	0.438	0.438	2.0	0.0	1.306	1.489	1.701	1.701	3.0	0.0	0.9450000000000001	1.0695000000000001
TC05_PCG_External_QuoteNewCustomer_HO_29D_SelectQuote_L	1.474	1.708	1.98	2.017	7.0	0.0	1.128	1.241	1.262	1.404	5.0	0.0	1.4745	1.621
TC05_PCG_External_QuoteNewCustomer_HO_29_PackagePage_ClickProceedtoIssuance_XL	3.456	4.41	4.906	6.248	5.0	0.0	1.354	1.607	1.671	2.282	6.0	0.0	3.0085	3.2885
TC07_PCG_External_NewCustomer_Collections_26d_PaymentsPage_ClickOk_M	2.464	2.627	2.79	2.79	2.0	0.0	1.34	1.606	1.7	2.487	9.0	0.0	2.1165	2.245
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_Dashboard_XXL	0.001	1.881	2.876	2.918	6.0	0.0	1.019	1.366	1.892	1.892	3.0	0.0	1.6235	2.384
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_S	6.061	7.369	7.751	8.433	5.0	0.0	2.978	3.616	3.97	4.198	5.0	0.0	5.4925	5.8605
TC07_PCG_External_NewCustomer_Collections_26c_PaymentsPage_ClickSave_L	1.96	2.05	2.141	2.141	2.0	0.0	1.336	1.567	1.785	1.807	6.0	0.0	1.8085	1.963
TC05_PCG_External_QuoteNewCustomer_HO_29_PackagePage_ClickProceedtoIssuance_L	3.362	3.791	3.867	5.314	7.0	0.0	1.327	1.58	1.683	2.374	9.0	0.0	2.6855	2.775
TC05_PCG_External_QuoteNewCustomer_HO_30_Preissuancepage_EnterMortagesandClickNext_XL	3.844	4.63	4.617	6.136	5.0	0.0	2.764	3.305	4.152	4.152	3.0	0.0	3.9675000000000002	4.3845
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_M	6.195	7.778	9.361	9.361	2.0	0.0	1.429	1.777	1.694	2.621	5.0	0.0	4.7775	5.5275
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_Dashboard_S	0.002	1.922	3.304	3.648	5.0	0.0	1.414	1.507	1.522	1.807	6.0	0.0	1.7145	2.413
TC07_PCG_External_NewCustomer_Collections_26d_PaymentsPage_ClickOk_L	2.647	2.667	2.688	2.688	2.0	0.0	1.404	1.518	1.554	1.827	9.0	0.0	2.0925	2.121
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_Dashboard_M	3.234	3.242	3.251	3.251	2.0	0.0	1.392	1.491	1.556	1.556	3.0	0.0	2.3665000000000003	2.4035
TC05_PCG_External_QuoteNewCustomer_HO_30_Preissuancepage_EnterMortagesandClickNext_L	4.034	4.647	5.295	5.948	7.0	0.0	1.39	1.589	1.627	2.004	5.0	0.0	3.1180000000000003	3.461
TC05_PCG_External_QuoteNewCustomer_HO_31_InspectionPage_SelectBrokerContact_XL	1.019	1.313	1.163	2.214	5.0	0.0	1.47	1.592	1.65	1.798	6.0	0.0	1.4525000000000001	1.4064999999999999
TC05_PCG_External_QuoteNewCustomer_HO_31_InspectionPage_SelectBrokerContact_L	0.992	1.27	1.242	2.259	7.0	0.0	1.353	1.464	1.502	1.611	9.0	0.0	1.367	1.3719999999999999
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_L	6.136	6.869	7.603	7.603	2.0	0.0	1.301	1.492	1.816	1.816	3.0	0.0	4.1805	4.7095
TC05_PCG_External_QuoteNewCustomer_HO_32_InspectionPage_ClickSave_XL	4.488	5.548	6.554	6.852	5.0	0.0	1.383	1.508	1.54	1.682	5.0	0.0	3.528	4.047000000000001
TC07_PCG_External_NewCustomer_Collections_27_SubjectivitiesPage_ClickIssue_Dashboard_L	0.001	1.514	3.027	3.027	2.0	0.0	1.396	1.64	1.634	2.204	6.0	0.0	1.577	2.3305
TC05_PCG_External_QuoteNewCustomer_HO_32_InspectionPage_ClickSave_L	4.631	5.155	5.488	6.059	7.0	0.0	1.282	1.478	1.635	1.727	9.0	0.0	3.3165	3.5615
TC05_PCG_External_QuoteNewCustomer_HO_33a_SelectBillingType_XL	0.86	0.887	0.888	0.927	5.0	0.0	1.403	1.633	2.043	2.043	3.0	0.0	1.26	1.4655
TC05_PCG_External_QuoteNewCustomer_HO_33a_SelectBillingType_L	0.848	0.973	0.967	1.425	7.0	0.0	1.46	1.565	1.592	1.832	5.0	0.0	1.269	1.2795
TC05_PCG_External_QuoteNewCustomer_HO_33b_SelectPaymentPlan_XL	0.357	0.472	0.537	0.674	5.0	0.0	1.46	1.715	1.872	2.496	6.0	0.0	1.0935000000000001	1.2045000000000001
TC05_PCG_External_QuoteNewCustomer_HO_33c_PaymentPage_ClickSave_XL	1.954	2.253	2.448	2.48	5.0	0.0	1.324	1.708	2.407	2.521	9.0	0.0	1.9805000000000001	2.4275
TC05_PCG_External_QuoteNewCustomer_HO_33b_SelectPaymentPlan_L	0.349	0.455	0.429	0.783	6.0	0.0	1.398	1.843	2.568	2.568	3.0	0.0	1.149	1.4985
TC05_PCG_External_QuoteNewCustomer_HO_33c_PaymentPage_ClickSave_L	1.969	2.259	2.433	2.567	6.0	0.0	1.369	1.441	1.486	1.493	5.0	0.0	1.85	1.9594999999999998
TC05_PCG_External_QuoteNewCustomer_HO_33d_PaymentPage_ClickOk_XL	2.885	3.293	3.446	3.919	5.0	0.0	1.385	1.489	1.555	1.776	6.0	0.0	2.391	2.5005
TC05_PCG_External_QuoteNewCustomer_HO_33d_PaymentPage_ClickOk_L	2.711	3.245	3.503	4.085	6.0	0.0	1.306	1.397	1.522	1.54	9.0	0.0	2.321	2.5125
TC05_PCG_External_QuoteNewCustomer_HO_34_SubjectivetPage_ClickIssue_XL	13.005	14.262	14.21	17.327	5.0	0.0	1.409	1.46	1.493	1.493	3.0	0.0	7.861000000000001	7.851500000000001
TC05_PCG_External_QuoteNewCustomer_HO_34_SubjectivetPage_ClickIssue_L	12.998	14.935	16.249	18.205	6.0	0.0	1.381	1.482	1.516	1.665	5.0	0.0	8.2085	8.8825
TC05_PCG_External_QuoteNewCustomer_HO_34_SubjectivetPage_ClickIssue_Dashboard_XL	0.001	2.388	3.031	3.406	5.0	0.0	1.334	1.475	1.398	2.004	6.0	0.0	1.9315	2.2145
TC05_PCG_External_QuoteNewCustomer_HO_34_SubjectivetPage_ClickIssue_Dashboard_L	0.001	2.405	3.286	3.302	6.0	0.0	1.376	1.476	1.559	1.67	9.0	0.0	1.9405	2.4225
TC05_PCG_External_QuoteNewCustomer_HO_29A_Dashboardpage_SearchCustomerID_M	1.001	1.221	1.358	1.569	6.0	0.0	1.35	1.588	1.946	1.946	3.0	0.0	1.4045	1.6520000000000001
TC05_PCG_External_QuoteNewCustomer_HO_29A_Dashboardpage_SearchCustomerID_S	0.858	1.123	1.409	1.409	4.0	0.0	1.397	1.574	1.752	1.881	5.0	0.0	1.3485	1.5805
TC05_PCG_External_QuoteNewCustomer_HO_29B_Customerbackpage_clickQuoteno_M	1.244	1.712	2.148	2.434	6.0	0.0	1.421	1.524	1.613	1.713	6.0	0.0	1.6179999999999999	1.8805
TC05_PCG_External_QuoteNewCustomer_HO_29B_Customerbackpage_clickQuoteno_S	1.175	1.361	1.538	1.538	4.0	0.0	1.382	1.665	1.652	2.886	9.0	0.0	1.513	1.595
TC05_PCG_External_QuoteNewCustomer_HO_29C_ProposalTab_ClickPackageid_M	2.972	3.651	4.092	4.205	6.0	0.0	1.4	1.843	2.461	2.461	3.0	0.0	2.747	3.2764999999999995
TC05_PCG_External_QuoteNewCustomer_HO_29C_ProposalTab_ClickPackageid_S	3.45	3.955	4.365	4.365	4.0	0.0	1.321	2.057	1.768	4.356	5.0	0.0	3.0060000000000002	3.0665
TC05_PCG_External_QuoteNewCustomer_HO_29D_SelectQuote_M	1.381	1.775	2.116	2.263	6.0	0.0	2.926	3.39	3.67	3.778	6.0	0.0	2.5825	2.893
TC05_PCG_External_QuoteNewCustomer_HO_29D_SelectQuote_S	1.557	2.06	3.083	3.083	4.0	0.0	2.863	3.278	3.504	4.275	9.0	0.0	2.669	3.2935
TC05_PCG_External_QuoteNewCustomer_HO_29_PackagePage_ClickProceedtoIssuance_M	3.457	3.91	4.054	4.591	6.0	0.0	1.393	1.462	1.537	1.537	3.0	0.0	2.686	2.7955
TC05_PCG_External_QuoteNewCustomer_HO_29_PackagePage_ClickProceedtoIssuance_S	3.44	3.651	3.888	3.888	4.0	0.0	1.359	1.655	1.68	2.296	5.0	0.0	2.653	2.784
TC05_PCG_External_QuoteNewCustomer_HO_30_Preissuancepage_EnterMortagesandClickNext_M	3.9	4.43	4.419	5.66	6.0	0.0	4.803	5.068	5.259	5.308	6.0	0.0	4.749	4.839
TC05_PCG_External_QuoteNewCustomer_HO_30_Preissuancepage_EnterMortagesandClickNext_S	3.902	4.244	4.737	4.737	4.0	0.0	1.312	1.374	1.468	1.468	3.0	0.0	2.809	3.1025
TC05_PCG_External_QuoteNewCustomer_HO_31_InspectionPage_SelectBrokerContact_M	0.981	1.082	1.157	1.235	6.0	0.0	2.32	4.873	5.602	5.989	9.0	0.0	2.9775	3.3795
TC05_PCG_External_QuoteNewCustomer_HO_31_InspectionPage_SelectBrokerContact_S	0.997	1.588	2.8	2.8	4.0	0.0	2.963	3.073	3.132	3.211	5.0	0.0	2.3305	2.966
TC05_PCG_External_QuoteNewCustomer_HO_32_InspectionPage_ClickSave_M	4.573	5.123	5.168	5.87	6.0	0.0	3.718	3.943	4.064	4.322	5.0	0.0	4.533	4.616
TC05_PCG_External_QuoteNewCustomer_HO_32_InspectionPage_ClickSave_S	4.792	5.178	6.129	6.129	4.0	0.0	2.919	3.046	3.159	3.159	3.0	0.0	4.112	4.644
