base_Label	base_Min	base_Average	base_90% Line	base_Max	base_Pass	base_Fail	target_Min	target_Average	target_90% Line	target_Max	target_Pass	target_Fail	AVG	90%
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_S	1.987	2.408	3.26	3.26	4.0	0.0	1.518	1.988	2.249	2.465	6.0	0.0	2.198	2.7545
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_XXL	1.94	2.274	2.506	3.003	7.0	0.0	1.467	1.531	1.567	1.584	6.0	0.0	1.9024999999999999	2.0364999999999998
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_L	15.239	17.685	19.378	22.765	15.0	0.0	1.274	1.633	1.681	3.442	12.0	0.0	9.658999999999999	10.5295
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_M	15.863	17.696	18.335	21.614	6.0	0.0	1.389	1.638	1.552	2.563	6.0	0.0	9.667000000000002	9.9435
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_S	16.936	17.866	18.815	18.815	4.0	0.0	1.418	1.649	1.762	2.091	6.0	0.0	9.7575	10.2885
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_L	0.963	1.805	2.027	2.382	14.0	0.0	1.416	1.672	1.785	2.392	6.0	0.0	1.7385	1.9060000000000001
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_XXL	15.983	17.064	17.606	18.037	7.0	0.0	4.444	4.71	4.909	5.368	12.0	0.0	10.887	11.2575
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_M	1.804	2.392	2.974	3.1	6.0	0.0	4.273	4.417	4.516	4.53	6.0	0.0	3.4044999999999996	3.745
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_S	1.856	1.92	2.099	2.099	4.0	0.0	1.411	1.481	1.514	1.555	6.0	0.0	1.7005	1.8065000000000002
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_L	1.603	2.236	3.195	4.123	13.0	0.0	1.493	1.553	1.544	1.694	6.0	0.0	1.8945	2.3695
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_XXL	1.687	1.851	2.003	2.089	7.0	0.0	1.048	1.263	1.439	1.758	12.0	0.0	1.557	1.721
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_M	1.672	1.913	2.136	2.161	6.0	0.0	1.089	1.248	1.317	1.723	6.0	0.0	1.5805	1.7265000000000001
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_S	1.766	1.834	2.014	2.014	4.0	0.0	4.112	4.737	5.094	5.861	6.0	0.0	3.2855	3.5540000000000003
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_L	1.653	2.34	3.56	5.239	13.0	0.0	4.187	4.86	5.131	6.171	6.0	0.0	3.6	4.3455
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_XXL	1.678	2.211	2.587	3.059	7.0	0.0	2.949	3.313	3.603	3.978	12.0	0.0	2.762	3.095
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_M	1.901	1.952	2.013	2.037	6.0	0.0	3.103	3.528	3.74	3.799	6.0	0.0	2.74	2.8765
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_S	1.727	1.854	1.907	1.907	4.0	0.0	1.158	1.27	1.371	1.39	6.0	0.0	1.562	1.639
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_L	4.325	5.137	6.494	7.185	13.0	0.0	1.092	1.199	1.274	1.3	6.0	0.0	3.1679999999999997	3.884
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_XXL	1.82	2.13	2.207	3.193	7.0	0.0	1.114	1.385	1.729	1.964	12.0	0.0	1.7574999999999998	1.968
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_M	4.448	4.784	4.795	5.34	6.0	0.0	1.12	1.213	1.23	1.333	6.0	0.0	2.9985	3.0125
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_S	4.279	4.885	5.372	5.372	4.0	0.0	3.213	3.645	3.927	4.698	6.0	0.0	4.265	4.6495
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_L	1.163	1.33	1.488	1.59	13.0	0.0	3.094	3.312	3.457	3.582	6.0	0.0	2.3209999999999997	2.4725
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_XXL	4.419	5.06	5.638	5.885	7.0	0.0	1.715	2.014	2.083	3.956	12.0	0.0	3.537	3.8605
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_M	1.208	1.301	1.362	1.47	6.0	0.0	1.74	2.88	4.686	5.036	6.0	0.0	2.0905	3.024
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_S	1.23	1.284	1.394	1.394	4.0	0.0	1.176	1.434	1.334	2.41	6.0	0.0	1.359	1.3639999999999999
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_L	3.013	3.414	3.99	4.802	13.0	0.0	1.151	1.247	1.25	1.563	6.0	0.0	2.3305000000000002	2.62
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XXL	1.189	1.287	1.321	1.497	7.0	0.0	6.2	8.292	12.182	15.568	12.0	0.0	4.7895	6.7515
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_M	3.161	3.444	3.493	4.135	6.0	0.0	5.898	6.768	6.911	8.459	6.0	0.0	5.106	5.202
TC01_ExternalLogin_01F_CredSignIn_Dasboard__XL	0.001	1.201	3.874	4.28	33.0	0.0	1.731	1.87	1.913	1.953	6.0	0.0	1.5355	2.8935
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_S	3.349	3.794	4.811	4.811	4.0	0.0	1.67	1.79	1.811	1.927	6.0	0.0	2.792	3.311
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_L	1.041	2.213	2.144	5.098	5.0	0.0	3.991	4.767	5.339	5.981	12.0	0.0	3.49	3.7415000000000003
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_L	1.213	1.572	2.188	3.535	13.0	0.0	4.18	4.596	4.942	5.12	6.0	0.0	3.084	3.5650000000000004
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_XXL	2.978	3.53	4.054	4.426	7.0	0.0	3.131	6.327	7.074	7.711	5.0	1.0	4.9285	5.564
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_M	1.338	2.168	2.378	4.565	6.0	0.0	6.078	8.379	7.678	16.24	6.0	0.0	5.2735	5.0280000000000005
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_S	1.205	1.416	1.543	1.543	4.0	0.0	2.885	4.978	6.21	12.658	12.0	0.0	3.197	3.8765
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_XL	0.588	2.912	5.684	5.684	4.0	0.0	3.811	4.421	4.368	6.39	6.0	0.0	3.6665	5.026
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_L	0.861	1.217	1.626	1.633	5.0	0.0	3.77	4.833	5.278	6.309	5.0	0.0	3.0250000000000004	3.452
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_L	5.976	7.024	8.088	9.361	13.0	0.0	4.231	4.784	5.35	5.531	6.0	0.0	5.904	6.718999999999999
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XXL	1.242	1.553	1.664	2.188	7.0	0.0	3.101	4.625	6.118	6.845	12.0	0.0	3.089	3.891
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_XL	0.64	0.943	1.13	1.13	4.0	0.0	3.525	4.975	6.036	6.153	6.0	0.0	2.9589999999999996	3.5829999999999997
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_M	6.019	7.325	7.815	10.184	6.0	0.0	2.882	4.318	5.352	6.215	5.0	0.0	5.8215	6.583500000000001
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_XXL	0.58	1.564	1.589	4.824	7.0	0.0	3.016	3.661	3.664	5.346	6.0	0.0	2.6125	2.6265
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_S	6.286	6.817	7.17	7.17	4.0	0.0	0.624	0.945	1.666	1.827	12.0	0.0	3.8810000000000002	4.418
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_L	3.203	4.136	4.104	5.862	5.0	0.0	0.629	0.755	0.82	1.022	6.0	0.0	2.4455	2.462
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_M	0.541	1.602	2.054	4.508	6.0	0.0	3.706	5.888	8.48	8.7	5.0	0.0	3.745	5.267
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_L	3.623	4.332	5.067	5.193	13.0	0.0	3.067	4.976	5.044	8.418	6.0	0.0	4.654	5.0555
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_XXL	6.019	6.522	6.786	7.191	7.0	0.0	0.727	0.813	0.876	0.921	5.0	0.0	3.6675	3.831
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_XL	3.425	4.039	5.127	5.127	4.0	0.0	0.74	0.874	0.91	1.184	6.0	0.0	2.4564999999999997	3.0185
TC06_PCG_External_QuoteNewCustomer_PEL_02_SearchCustomername_S	0.607	1.179	2.117	2.117	4.0	0.0	0.434	0.533	0.651	0.663	8.0	0.0	0.8560000000000001	1.384
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_XXL	0.993	1.329	1.546	1.791	7.0	0.0	0.487	0.667	0.849	0.849	3.0	0.0	0.998	1.1975
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_M	3.994	4.661	5.197	5.265	6.0	0.0	1.34	1.9	2.073	2.579	8.0	0.0	3.2805	3.635
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_L	1.663	2.047	2.075	2.834	5.0	0.0	0.446	0.54	0.655	0.728	8.0	0.0	1.2935	1.3650000000000002
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_S	3.977	4.388	4.829	4.829	4.0	0.0	1.188	1.289	1.362	1.362	3.0	0.0	2.8385	3.0955
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_M	0.666	0.961	1.244	1.421	6.0	0.0	0.924	1.609	1.974	2.551	8.0	0.0	1.285	1.609
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_L	1.539	2.096	2.901	3.39	13.0	0.0	5.988	7.138	7.742	8.481	8.0	0.0	4.617	5.3215
TC06_PCG_External_QuoteNewCustomer_PEL_03_CreateQuotefor_NewCustomer_S	0.629	1.843	4.358	4.358	4.0	0.0	0.442	0.517	0.521	0.63	5.0	0.0	1.18	2.4395
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_XL	1.683	1.832	2.098	2.098	4.0	0.0	6.109	7.159	7.78	7.78	3.0	0.0	4.4955	4.939
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_M	1.36	1.73	2.02	2.101	6.0	0.0	6.486	7.556	8.094	8.202	8.0	0.0	4.643	5.0569999999999995
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_XXL	3.897	4.55	4.862	5.073	7.0	0.0	8.172	12.038	14.503	14.598	7.0	0.0	8.294	9.682500000000001
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_XXL	2.023	3.781	4.904	4.981	7.0	0.0	1.402	2.16	2.49	2.73	5.0	0.0	2.9705000000000004	3.697
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_S	1.77	1.983	2.318	2.318	4.0	0.0	8.521	10.034	11.483	11.483	3.0	0.0	6.008500000000001	6.9005
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_M	3.173	3.995	4.443	5.214	6.0	0.0	1.463	1.777	2.04	2.135	7.0	0.0	2.886	3.2415
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_L	2.838	5.735	6.021	28.033	13.0	0.0	8.659	10.376	10.725	16.844	8.0	0.0	8.0555	8.373
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_L	14.356	14.689	15.056	15.144	5.0	0.0	5.925	6.877	7.204	7.885	5.0	0.0	10.783	11.129999999999999
TC06_PCG_External_QuoteNewCustomer_PEL_04_SelectProductandclick_save&continue_S	2.647	3.906	6.121	6.121	4.0	0.0	1.496	1.836	2.371	2.371	3.0	0.0	2.871	4.246
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_XXL	1.571	1.88	1.966	2.289	7.0	0.0	3.046	3.542	4.111	4.262	7.0	0.0	2.711	3.0385
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_M	3.13	3.768	4.185	4.428	6.0	0.0	1.456	1.963	2.438	3.134	7.0	0.0	2.8655	3.3114999999999997
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_XXL	1.812	3.494	5.491	5.931	6.0	0.0	2.757	2.965	3.087	3.087	3.0	0.0	3.2295	4.289
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_S	3.181	4.127	5.315	5.315	4.0	0.0	8.512	10.98	13.853	14.982	5.0	0.0	7.5535	9.584
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_M	1.6	1.863	1.887	2.35	6.0	0.0	2.273	5.118	11.266	11.57	7.0	0.0	3.4905	6.5765
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_XL	14.865	15.516	16.508	16.508	4.0	0.0	2.819	3.324	3.766	4.42	7.0	0.0	9.42	10.137
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_L	0.609	0.776	0.966	0.997	13.0	0.0	2.137	2.3	2.555	2.555	3.0	0.0	1.5379999999999998	1.7605
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_L	1.895	2.408	3.019	3.196	5.0	0.0	1.416	1.595	1.576	1.989	5.0	0.0	2.0015	2.2975000000000003
TC06_PCG_External_QuoteNewCustomer_PEL_08_Insuredpage_SelectLocationinfo_S	1.686	1.847	1.949	1.949	3.0	0.0	5.249	5.845	6.36	6.366	7.0	0.0	3.846	4.1545000000000005
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_M	0.611	0.906	0.815	1.869	6.0	0.0	2.12	2.728	3.151	4.094	7.0	0.0	1.8170000000000002	1.9829999999999999
TC05_PCG_External_QuoteNewCustomer_HO_26_Prepackage_Clickcreatepackage_XXL	2.976	4.167	5.368	6.475	7.0	0.0	5.07	5.574	6.286	6.286	3.0	0.0	4.8705	5.827
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_S	0.696	0.828	1.094	1.094	4.0	0.0	3.007	3.353	3.278	4.072	5.0	0.0	2.0905	2.186
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_XL	2.068	2.138	2.179	2.179	4.0	0.0	3.069	4.204	5.037	5.936	6.0	0.0	3.171	3.6079999999999997
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_XXL	14.463	16.555	17.081	18.472	6.0	0.0	4.952	5.789	6.7	6.913	7.0	0.0	11.172	11.8905
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_L	2.866	3.379	3.953	4.113	5.0	0.0	2.233	2.496	2.766	2.766	4.0	0.0	2.9375	3.3594999999999997
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_M	13.977	15.638	15.315	19.923	6.0	0.0	3.124	3.755	4.281	4.281	3.0	0.0	9.6965	9.798
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_L	7.566	8.214	9.823	9.844	13.0	0.0	2.7	5.086	5.269	9.707	6.0	0.0	6.65	7.546
TC05_PCG_External_QuoteNewCustomer_HO_27_Prepackage_createpackage_clickclose_XXL	0.603	0.917	1.264	1.359	7.0	0.0	2.783	3.544	4.262	4.285	7.0	0.0	2.2305	2.763
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_M	7.622	7.882	7.919	8.804	6.0	0.0	3.352	3.873	4.17	4.17	3.0	0.0	5.8774999999999995	6.044499999999999
TC06_PCG_External_QuoteNewCustomer_PEL_09_Insuredpage_Clicksave&continue_S	14.469	17.292	20.295	20.295	3.0	0.0	5.158	5.607	5.897	5.897	3.0	0.0	11.4495	13.096
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_S	7.294	7.676	8.217	8.217	4.0	0.0	2.038	4.564	5.551	9.714	6.0	0.0	6.12	6.884
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_XL	3.129	3.574	4.402	4.402	4.0	0.0	3.268	4.561	5.387	7.35	7.0	0.0	4.0675	4.8945
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_XXL	1.916	2.127	2.143	2.453	6.0	0.0	1.841	3.319	4.136	4.136	3.0	0.0	2.723	3.1395
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_M	1.899	2.141	2.264	2.346	6.0	0.0	2.839	6.337	13.157	13.157	3.0	0.0	4.239	7.7105
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_L	2.285	2.981	2.954	4.163	5.0	0.0	0.668	1.478	1.681	3.548	6.0	0.0	2.2295	2.3175
TC05_PCG_External_QuoteNewCustomer_HO_28_PackagePage_SendToUnderwriter_XXL	7.356	7.987	8.202	9.324	7.0	0.0	1.75	5.068	9.752	10.582	7.0	0.0	6.5275	8.977
TC06_PCG_External_QuoteNewCustomer_PEL_10A_ratings_enterdetails_Clicksave_S	2.281	2.847	3.867	3.867	3.0	0.0	0.642	0.805	0.916	0.916	3.0	0.0	1.826	2.3915
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_XL	2.291	8.191	24.839	24.839	4.0	0.0	2.242	6.121	10.655	10.655	3.0	0.0	7.156000000000001	17.747
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_XXL	2.936	7.364	4.893	26.141	6.0	0.0	0.601	1.452	2.14	4.032	7.0	0.0	4.4079999999999995	3.5164999999999997
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_M	2.96	4.581	4.532	9.132	6.0	0.0	2.418	4.529	6.865	6.865	3.0	0.0	4.555	5.6985
TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_L	4.947	6.061	6.213	8.652	5.0	0.0	0.633	1.135	1.771	1.771	3.0	0.0	3.598	3.992
TC06_PCG_External_QuoteNewCustomer_PEL_11_ratings_Clicknext_S	3.101	3.277	3.59	3.59	3.0	0.0	0.263	0.37	0.404	2.331	1226.0	0.0	1.8235000000000001	1.9969999999999999
TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_XL	4.906	5.367	5.725	5.725	4.0	0.0	0.424	0.516	0.651	0.651	3.0	0.0	2.9415	3.1879999999999997
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_XXL	2.305	4.595	5.087	12.217	6.0	0.0	0.452	0.56	0.606	0.858	6.0	0.0	2.5774999999999997	2.8465
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_M	2.425	2.662	2.816	3.128	6.0	0.0	1.649	1.822	2.088	2.088	3.0	0.0	2.242	2.452
TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_L	2.58	3.873	3.78	6.255	5.0	0.0	0.464	0.553	0.594	0.63	5.0	0.0	2.213	2.187
TC06_PCG_External_QuoteNewCustomer_PEL_12A_Coverages_Clicknext_S	2.276	2.508	2.758	2.758	3.0	0.0	1.189	1.722	1.923	2.262	6.0	0.0	2.115	2.3405
TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_XL	2.877	3.26	3.615	3.615	4.0	0.0	0.437	0.535	0.79	0.79	4.0	0.0	1.8975	2.2025
TC06_PCG_External_QuoteNewCustomer_PEL_13b_Details_ClickNext_XXL	5.346	5.667	5.926	6.057	6.0	0.0	1.135	1.431	1.654	1.742	5.0	0.0	3.549	3.79
